,Event,Medal,Result
0,10000M Men,Gold,27:05.17
1,10000M Men,Silver,27:23.883333
2,10000M Men,Bronze,27:32.442
3,100M Men,Gold,9.81
4,100M Men,Silver,9.9
5,100M Men,Bronze,10.2
6,110M Hurdles Men,Gold,13.05
7,110M Hurdles Men,Silver,13.4
8,110M Hurdles Men,Bronze,14.135
9,1500M Men,Gold,3:32.53
10,1500M Men,Silver,3:38.4
11,1500M Men,Bronze,3:39
12,200M Men,Gold,19.78
13,200M Men,Silver,20.02
14,200M Men,Bronze,20.41
15,20Km Race Walk Men,Gold,1:19:14
16,20Km Race Walk Men,Silver,1:19:37
17,20Km Race Walk Men,Bronze,1:22:25
18,3000M Steeplechase Men,Gold,8:08.02
19,3000M Steeplechase Men,Silver,8:08.69
20,3000M Steeplechase Men,Bronze,8:15.66
21,400M Hurdles Men,Gold,47.66
22,400M Hurdles Men,Silver,48.1
23,400M Hurdles Men,Bronze,48.1
24,400M Men,Gold,43.03
25,400M Men,Silver,44.24
26,400M Men,Bronze,44.9
27,4X100M Relay Men,Gold,37.27
28,4X100M Relay Men,Silver,37.64
29,4X100M Relay Men,Bronze,37.98
30,4X400M Relay Men,Gold,2:59.11
31,4X400M Relay Men,Silver,2:59.42
32,4X400M Relay Men,Bronze,3:01.1
33,5000M Men,Gold,13:03.9
34,5000M Men,Silver,13:05.59
35,5000M Men,Bronze,13:22
36,50Km Race Walk Men,Gold,3:38:56
37,50Km Race Walk Men,Silver,3:41:08
38,50Km Race Walk Men,Bronze,3:43:34
39,800M Men,Gold,1:42.905
40,800M Men,Silver,1:43.64
41,800M Men,Bronze,1:44.345
42,Decathlon Men,Gold,7417.0
43,Decathlon Men,Silver,7027.0
44,Decathlon Men,Bronze,7017.5
45,Discus Throw Men,Gold,54.035833
46,Discus Throw Men,Silver,53.326
47,Discus Throw Men,Bronze,49.063333
48,Hammer Throw Men,Gold,52.6075
49,Hammer Throw Men,Silver,50.72
50,Hammer Throw Men,Bronze,49.25
51,High Jump Men,Gold,2.213333
52,High Jump Men,Silver,2.156667
53,High Jump Men,Bronze,2.0175
54,Javelin Throw Men,Gold,1:24.71
55,Javelin Throw Men,Silver,1:09.8
56,Javelin Throw Men,Bronze,1:05.415
57,Long Jump Men,Gold,8.048125
58,Long Jump Men,Silver,8.015
59,Long Jump Men,Bronze,7.887857
60,Marathon Men,Gold,2:08:44
61,Marathon Men,Silver,2:09:54
62,Marathon Men,Bronze,2:12:11
63,Pole Vault Men,Gold,4.065
64,Pole Vault Men,Silver,3.69
65,Pole Vault Men,Bronze,3.64
66,Shot Put Men,Gold,16.2
67,Shot Put Men,Silver,16.12
68,Shot Put Men,Bronze,15.333333
69,Triple Jump Men,Gold,16.443333
70,Triple Jump Men,Silver,16.275
71,Triple Jump Men,Bronze,13.64
72,10000M Women,Gold,29:49.1
73,10000M Women,Silver,30:04.49
74,10000M Women,Bronze,30:24.98
75,100M Hurdles Women,Gold,12.425
76,100M Hurdles Women,Silver,12.59
77,100M Hurdles Women,Bronze,12.65
78,100M Women,Gold,10.71
79,100M Women,Silver,10.905
80,100M Women,Bronze,10.943333
81,1500M Women,Gold,3:55.3
82,1500M Women,Silver,3:57.08
83,1500M Women,Bronze,3:58.12
84,200M Women,Gold,21.78
85,200M Women,Silver,21.88
86,200M Women,Bronze,22.145
87,20Km Race Walk Women,Gold,1:25:02
88,20Km Race Walk Women,Silver,1:25:16
89,20Km Race Walk Women,Bronze,1:27:07
90,3000M Steeplechase Women,Gold,8:59.75
91,3000M Steeplechase Women,Silver,9:07.12
92,3000M Steeplechase Women,Bronze,9:07.63
93,400M Hurdles Women,Gold,52.7
94,400M Hurdles Women,Silver,53.38
95,400M Hurdles Women,Bronze,53.886667
96,400M Women,Gold,48.54
97,400M Women,Silver,49.05
98,400M Women,Bronze,49.72
99,4X100M Relay Women,Gold,41.36
100,4X100M Relay Women,Silver,42.733333
101,4X100M Relay Women,Bronze,43.068
102,4X400M Relay Women,Gold,3:18.724
103,4X400M Relay Women,Silver,3:21.14
104,4X400M Relay Women,Bronze,3:22.81
105,5000M Women,Gold,14:47.563333
106,5000M Women,Silver,14:50.19
107,5000M Women,Bronze,14:54.95
108,800M Women,Gold,1:55.99
109,800M Women,Silver,1:56.73
110,800M Women,Bronze,1:57.58
111,Discus Throw Women,Gold,56.97
112,Discus Throw Women,Silver,54.345
113,Discus Throw Women,Bronze,52.49
114,Hammer Throw Women,Gold,1:22.29
115,Hammer Throw Women,Silver,1:17.6
116,Hammer Throw Women,Bronze,1:13.16
117,Heptathlon Women,Gold,6952.0
118,Heptathlon Women,Silver,6845.0
119,Heptathlon Women,Bronze,6424.0
120,High Jump Women,Gold,2.02
121,High Jump Women,Silver,1.68
122,High Jump Women,Bronze,1.6
123,Javelin Throw Women,Gold,1:08.34
124,Javelin Throw Women,Silver,49.76
125,Javelin Throw Women,Bronze,43.39
126,Long Jump Women,Gold,7.02
127,Long Jump Women,Silver,6.986667
128,Long Jump Women,Bronze,6.37
129,Marathon Women,Gold,2:23:07
130,Marathon Women,Silver,2:24:3
131,Marathon Women,Bronze,2:24:52
132,Pole Vault Women,Gold,4.75
133,Pole Vault Women,Silver,4.75
134,Pole Vault Women,Bronze,4.7
135,Shot Put Women,Gold,19.19
136,Shot Put Women,Silver,17.32
137,Shot Put Women,Bronze,14.57
138,Triple Jump Women,Gold,15.3
139,Triple Jump Women,Silver,15.14
140,Triple Jump Women,Bronze,14.98
